chr	gene	NAGn	SRIn	Y_Zn
chr5	AFF4	4	4	4
chr18	AFG3L2	5	5	5
chr17	AFMID	3	3	3
chr4	AFP	5	5	5
chr2	AFTPH	11	11	11
chr4	AGA	6	6	6
chr15	AGBL1	60	60	60
chr11	AGBL2	4	4	4
chr1	AGBL4	114	114	114
chr2	AGBL5	3	3	3
chr6	AGER	4	4	4
chr5	AGGF1	6	6	6
chr7	AGK	21	21	21
chr1	AGL	12	12	12
chr1	AGMAT	2	2	2
chr6	AGPAT1	3	3	3
chr9	AGPAT2	3	3	3
chr21	AGPAT3	28	28	28
chr6	AGPAT4	26	26	26
chr8	AGPAT5	8	8	8
chr8	AGPAT6	13	13	13
chr4	AGPAT9	9	9	9
chr2	AGPS	12	12	12
chr7	AGR2	3	3	3
chr7	AGR3	4	4	4
chr16	AGRP	2	2	2
chr1	AGT	3	3	3
chr9	AGTPBP1	28	28	28
chr3	AGTR1	9	9	9
chr1	AGTRAP	3	3	3
chr2	AGXT	2	2	2
chr5	AGXT2	11	11	11
chr4	AGXT2L1	7	7	7
chr5	AGXT2L2	3	3	3
chr1	AHCTF1	11	11	11
chr20	AHCY	2	2	2
chr1	AHCYL1	8	8	8
chr7	AHCYL2	20	20	20
chr1	AHDC1	3	3	3
chr6	AHI1	13	13	13
chr11	AHNAK	16	16	16
chr14	AHNAK2	5	5	5
chr7	AHR	5	5	5
chr5	AHRR	19	19	19
chr14	AHSA1	2	2	2
chr2	AHSA2	2	2	2
chr3	AHSG	3	3	3
chr1	AIDA	6	6	6
chr6	AIF1	2	2	2
chr10	AIFM2	11	11	11
chr22	AIFM3	3	3	3
chr6	AIG1	27	27	27
chr6	AIM1	5	5	5
chr1	AIM1L	4	4	4
chr11	AIP	3	3	3
chr17	AIPL1	5	5	5
chr21	AIRE	2	2	2
chr1	AJAP1	30	30	30
chr1	AK2	2	2	2
chr9	AK3	11	11	11
chr1	AK3L1	7	7	7
chr1	AK5	40	40	40
chr14	AK7	27	27	27
chr17	AKAP1	6	6	6
chr9	AKAP2	38	38	38
chr12	AKAP3	3	3	3
chr14	AKAP5	2	2	2
chr14	AKAP6	50	50	50
chr6	AKAP7	14	14	14
chr19	AKAP8L	3	3	3
chr7	AKAP9	16	16	16
chr17	AKAP10	4	4	4
chr13	AKAP11	3	3	3
chr6	AKAP12	33	33	33
chr15	AKAP13	15	15	15
chr23	AKAP14	2	2	2
chr6	AKIRIN2	2	2	2
chr9	AKNA	19	19	19
chr1	AKR1A1	4	4	4
chr10	AKR1C1	3	3	3
chr10	AKR1C3	2	2	2
chr10	AKR1C4	6	6	6
chr10	AKR1CL1	2	2	2
chr10	AKR1CL2	3	3	3
chr7	AKR1D1	8	8	8
chr1	AKR7A2	2	2	2
chr1	AKR7A3	2	2	2
chr14	AKT1	2	2	2
chr19	AKT2	6	6	6
chr1	AKT3	62	62	62
chr16	AKTIP	2	2	2
chr9	ALAD	2	2	2
chr4	ALB	4	4	4
chr3	ALCAM	24	24	24
chr9	ALDH1A1	4	4	4
chr15	ALDH1A2	22	22	22
chr15	ALDH1A3	10	10	10
chr9	ALDH1B1	4	4	4
chr3	ALDH1L1	4	4	4
chr12	ALDH1L2	14	14	14
chr12	ALDH2	3	3	3
chr17	ALDH3A1	2	2	2
chr17	ALDH3A2	4	4	4
chr11	ALDH3B1	3	3	3
chr11	ALDH3B2	3	3	3
chr1	ALDH4A1	11	11	11
chr6	ALDH5A1	7	7	7
chr14	ALDH6A1	2	2	2
chr5	ALDH7A1	8	8	8
chr6	ALDH8A1	4	4	4
chr1	ALDH9A1	6	6	6
chr19	ALDH16A1	5	5	5
chr10	ALDH18A1	7	7	7
chr16	ALDOA	2	2	2
chr9	ALDOB	2	2	2
chr16	ALG1	7	7	7
chr3	ALG3	3	3	3
chr13	ALG5	16	16	16
chr1	ALG6	25	25	25
chr11	ALG8	2	2	2
chr11	ALG9	11	11	11
chr13	ALG11	2	2	2
chr22	ALG12	6	6	6
chr1	ALG14	20	20	20
chr2	ALK	208	208	208
chr14	ALKBH1	7	7	7
chr11	ALKBH3	16	16	16
chr17	ALKBH5	5	5	5
chr19	ALKBH6	3	3	3
chr19	ALKBH7	2	2	2
chr11	ALKBH8	10	10	10
chr2	ALLC	12	12	12
chr2	ALMS1	15	15	15
chr10	ALOX5	9	9	9
chr13	ALOX5AP	4	4	4
chr17	ALOX12	2	2	2
chr17	ALOX12B	3	3	3
chr17	ALOX15B	2	2	2
chr17	ALOXE3	8	8	8
chr2	ALPI	2	2	2
chr4	ALPK1	10	10	10
chr18	ALPK2	22	22	22
chr15	ALPK3	3	3	3
chr1	ALPL	6	6	6
chr2	ALPP	2	2	2
chr2	ALS2	5	5	5
chr3	ALS2CL	5	5	5
chr2	ALS2CR2	2	2	2
chr2	ALS2CR4	6	6	6
chr2	ALS2CR8	3	3	3
chr2	ALS2CR11	12	12	12
chr2	ALS2CR12	2	2	2
chr2	ALS2CR13	6	6	6
chr12	ALX1	7	7	7
chr1	ALX3	2	2	2
chr11	ALX4	10	10	10
chr5	AMACR	6	6	6
chr4	AMBN	2	2	2
chr9	AMBP	5	5	5
chr11	AMBRA1	13	13	13
chr6	AMD1	3	3	3
chr12	AMDHD1	3	3	3
chr16	AMFR	3	3	3
chr19	AMH	2	2	2
chr11	AMICA1	9	9	9
chr2	AMMECR1L	2	2	2
chr14	AMN	3	3	3
chr12	AMN1	8	8	8
chr23	AMOT	4	4	4
chr11	AMOTL1	14	14	14
chr3	AMOTL2	2	2	2
chr1	AMPD2	2	2	2
chr11	AMPD3	15	15	15
chr7	AMPH	58	58	58
chr4	AMTN	4	4	4
chr1	AMY2B	2	2	2
chr7	AMZ1	4	4	4
chr2	ANAPC1	5	5	5
chr4	ANAPC4	12	12	12
chr12	ANAPC5	3	3	3
chr12	ANAPC7	6	6	6
chr4	ANAPC10	10	10	10
chr17	ANAPC11	5	5	5
chr14	ANGEL1	3	3	3
chr1	ANGEL2	2	2	2
chr8	ANGPT1	46	46	46
chr8	ANGPT2	39	39	39
chr20	ANGPT4	23	23	23
chr1	ANGPTL1	5	5	5
chr9	ANGPTL2	11	11	11
chr1	ANGPTL3	2	2	2
chr19	ANGPTL4	2	2	2
chr11	ANGPTL5	5	5	5
chr19	ANGPTL6	4	4	4
chr8	ANK1	12	12	12
chr4	ANK2	119	119	119
chr10	ANK3	89	89	89
chr2	ANKAR	6	6	6
chr15	ANKDD1A	5	5	5
chr17	ANKFN1	53	53	53
chr17	ANKFY1	14	14	14
chr5	ANKH	19	19	19
chr5	ANKHD1	3	3	3
chr5	ANKHD1-EIF4EBP3	4	4	4
chr7	ANKIB1	8	8	8
chr11	ANKK1	3	3	3
chr19	ANKLE1	3	3	3
chr12	ANKLE2	3	3	3
chr2	ANKMY1	16	16	16
chr7	ANKMY2	6	6	6
chr5	ANKRA2	3	3	3
chr10	ANKRD1	3	3	3
chr10	ANKRD2	3	3	3
chr20	ANKRD5	7	7	7
chr6	ANKRD6	13	13	13
chr7	ANKRD7	2	2	2
chr13	ANKRD10	16	16	16
chr16	ANKRD11	13	13	13
chr18	ANKRD12	14	14	14
chr12	ANKRD13A	4	4	4
chr1	ANKRD13C	14	14	14
chr11	ANKRD13D	3	3	3
chr10	ANKRD16	10	10	10
chr4	ANKRD17	12	12	12
chr10	ANKRD22	10	10	10
chr19	ANKRD24	3	3	3
chr10	ANKRD26	10	10	10
chr19	ANKRD27	6	6	6
chr3	ANKRD28	21	21	21
chr18	ANKRD29	5	5	5
chr10	ANKRD30A	10	10	10
chr5	ANKRD32	13	13	13
chr5	ANKRD34B	4	4	4
chr2	ANKRD36B	2	2	2
chr4	ANKRD37	2	2	2
chr17	ANKRD40	2	2	2
chr11	ANKRD42	5	5	5
chr2	ANKRD44	10	10	10
chr1	ANKRD45	6	6	6
chr8	ANKRD46	8	8	8
chr4	ANKRD50	11	11	11
chr12	ANKRD52	9	9	9
chr2	ANKRD53	7	7	7
chr22	ANKRD54	4	4	4
chr5	ANKRD55	21	21	21
chr23	ANKRD58	2	2	2
chr6	ANKS1A	27	27	27
chr12	ANKS1B	225	225	225
chr16	ANKS3	5	5	5
chr16	ANKS4B	2	2	2
chr9	ANKS6	6	6	6
chr7	ANLN	9	9	9
chr15	ANP32A	17	17	17
chr15	ANPEP	3	3	3
chr2	ANTXR1	38	38	38
chr4	ANTXR2	20	20	20
chr10	ANUBL1	8	8	8
chr9	ANXA1	5	5	5
chr15	ANXA2	16	16	16
chr2	ANXA4	3	3	3
chr4	ANXA5	6	6	6
chr5	ANXA6	31	31	31
chr10	ANXA7	3	3	3
chr4	ANXA10	25	25	25
chr10	ANXA11	12	12	12
chr8	ANXA13	11	11	11
chr7	AOAH	55	55	55
chr17	AOC2	5	5	5
chr17	AOC3	2	2	2
chr6	AOF1	9	9	9
chr1	AOF2	6	6	6
chr2	AOX1	13	13	13
chr22	AP1B1	11	11	11
chr16	AP1G1	3	3	3
chr14	AP1G2	4	4	4
chr17	AP1GBP1	46	46	46
chr19	AP1M1	7	7	7
chr23	AP1S2	3	3	3
chr2	AP1S3	17	17	17
chr19	AP2A1	5	5	5
chr11	AP2A2	7	7	7
chr17	AP2B1	18	18	18
chr19	AP2S1	3	3	3
chr5	AP3B1	23	23	23
chr15	AP3B2	6	6	6
chr19	AP3D1	9	9	9
chr10	AP3M1	3	3	3
chr8	AP3M2	2	2	2
chr5	AP3S1	10	10	10
chr15	AP3S2	7	7	7
chr15	AP4E1	6	6	6
chr14	AP4S1	6	6	6
chr12	APAF1	14	14	14
chr9	APBA1	35	35	35
chr15	APBA2	18	18	18
chr11	APBB1	3	3	3
chr10	APBB1IP	26	26	26
chr4	APBB2	54	54	54
chr5	APC	6	6	6
chr19	APC2	3	3	3
chr18	APCDD1	9	9	9
chr20	APCDD1L	19	19	19
chr23	APEX2	2	2	2
chr15	APH1B	15	15	15
chr11	API5	6	6	6
chr11	APIP	5	5	5
chr23	APLN	2	2	2
chr19	APLP1	2	2	2
chr11	APLP2	17	17	17
chr11	APOA4	2	2	2
chr11	APOA5	2	2	2
chr2	APOB	6	6	6
chr6	APOBEC2	3	3	3
chr22	APOBEC3B	4	4	4
chr22	APOBEC3D	2	2	2
chr22	APOBEC3F	5	5	5
chr22	APOBEC3G	2	2	2
chr22	APOBEC3H	3	3	3
chr11	APOC3	3	3	3
chr19	APOC4	2	2	2
chr12	APOF	2	2	2
chr22	APOL1	5	5	5
chr22	APOL3	4	4	4
chr22	APOL4	2	2	2
chr22	APOL5	6	6	6
chr22	APOL6	6	6	6
chr12	APOLD1	4	4	4
chr6	APOM	3	3	3
chr23	APOO	8	8	8
chr23	APOOL	7	7	7
chr21	APP	35	35	35
chr17	APPBP2	11	11	11
chr12	APPL2	32	32	32
chr9	APTX	6	6	6
chr7	AQP1	4	4	4
chr12	AQP2	2	2	2
chr9	AQP3	6	6	6
chr18	AQP4	6	6	6
chr12	AQP6	2	2	2
chr15	AQP9	4	4	4
chr11	AQP11	2	2	2
chr2	AQP12A	2	2	2
chr15	AQR	21	21	21
chr23	AR	11	11	11
chr23	ARAF	2	2	2
chr11	ARCN1	17	17	17
chr4	AREG	4	4	4
chr1	ARF1	4	4	4
chr12	ARF3	7	7	7
chr3	ARF4	3	3	3
chr20	ARFGAP1	4	4	4
chr22	ARFGAP3	5	5	5
chr8	ARFGEF1	11	11	11
chr20	ARFGEF2	27	27	27
chr4	ARFIP1	49	49	49
chr3	ARGFX	7	7	7
chr13	ARGLU1	7	7	7
chr11	ARHGAP1	3	3	3
chr23	ARHGAP4	4	4	4
chr14	ARHGAP5	2	2	2
chr23	ARHGAP6	27	27	27
chr22	ARHGAP8	15	15	15
chr4	ARHGAP10	57	57	57
chr10	ARHGAP12	7	7	7
chr2	ARHGAP15	85	85	85
chr16	ARHGAP17	24	24	24
chr6	ARHGAP18	60	60	60
chr10	ARHGAP19	11	11	11
chr11	ARHGAP20	13	13	13
chr10	ARHGAP21	16	16	16
chr10	ARHGAP22	13	13	13
chr4	ARHGAP24	64	64	64
chr2	ARHGAP25	9	9	9
chr5	ARHGAP26	55	55	55
chr17	ARHGAP27	2	2	2
chr18	ARHGAP28	18	18	18
chr1	ARHGAP29	36	36	36
chr1	ARHGAP30	2	2	2
chr17	ARHGDIA	2	2	2
chr12	ARHGDIB	3	3	3
chr19	ARHGEF1	4	4	4
chr1	ARHGEF2	2	2	2
chr3	ARHGEF3	60	60	60
chr2	ARHGEF4	2	2	2
chr7	ARHGEF5	3	3	3
chr23	ARHGEF6	8	8	8
chr13	ARHGEF7	38	38	38
chr23	ARHGEF9	2	2	2
chr8	ARHGEF10	48	48	48
chr1	ARHGEF10L	18	18	18
chr11	ARHGEF12	15	15	15
chr17	ARHGEF15	3	3	3
chr1	ARHGEF16	6	6	6
chr11	ARHGEF17	2	2	2
chr19	ARHGEF18	3	3	3
chr1	ARID1A	4	4	4
chr6	ARID1B	64	64	64
chr12	ARID2	9	9	9
chr19	ARID3A	4	4	4
chr15	ARID3B	2	2	2
chr14	ARID4A	6	6	6
chr1	ARID4B	36	36	36
chr10	ARID5B	27	27	27
chr15	ARIH1	21	21	21
chr12	ARL1	2	2	2
chr11	ARL2	2	2	2
chr16	ARL2BP	2	2	2
chr10	ARL3	2	2	2
chr7	ARL4A	2	2	2
chr2	ARL5A	3	3	3
chr10	ARL5B	7	7	7
chr3	ARL6	6	6	6
chr2	ARL6IP2	12	12	12
chr3	ARL6IP5	2	2	2
chr2	ARL6IP6	3	3	3
chr1	ARL8A	2	2	2
chr3	ARL8B	5	5	5
chr4	ARL9	3	3	3
chr5	ARL10	2	2	2
chr23	ARL13A	2	2	2
chr3	ARL13B	8	8	8
chr3	ARL14	2	2	2
chr5	ARL15	73	73	73
chr17	ARL17	19	19	19
chr17	ARL17P1	10	10	10
chr8	ARMC1	3	3	3
chr6	ARMC2	11	11	11
chr10	ARMC3	20	20	20
chr10	ARMC4	30	30	30
chr19	ARMC6	3	3	3
chr17	ARMC7	6	6	6
chr3	ARMC8	24	24	24
chr2	ARMC9	32	32	32
chr7	ARMC10	5	5	5
chr3	ARMET	2	2	2
chr15	ARNT2	47	47	47
chr11	ARNTL	12	12	12
chr12	ARNTL2	8	8	8
chr7	ARPC1A	8	8	8
chr7	ARPC1B	2	2	2
chr2	ARPC2	8	8	8
chr1	ARPC5	2	2	2
chr15	ARPP-19	2	2	2
chr3	ARPP-21	28	28	28
chr11	ARRB1	3	3	3
chr17	ARRB2	5	5	5
chr9	ARRDC1	3	3	3
chr19	ARRDC2	2	2	2
chr5	ARRDC3	2	2	2
chr19	ARRDC5	5	5	5
chr7	ARS2	2	2	2
chr22	ARSA	2	2	2
chr5	ARSB	41	41	41
chr23	ARSD	2	2	2
chr23	ARSE	2	2	2
chr23	ARSF	5	5	5
chr17	ARSG	7	7	7
chr5	ARSI	3	3	3
chr4	ARSJ	10	10	10
chr5	ARSK	4	4	4
chr11	ART1	10	10	10
chr4	ART3	19	19	19
chr1	ARTN	2	2	2
chr1	ARV1	7	7	7
chr22	ARVCF	10	10	10
chr23	ARX	2	2	2
chr10	AS3MT	6	6	6
chr8	ASAH1	9	9	9
chr10	ASAH2B	2	2	2
chr19	ASAH3	2	2	2
chr9	ASAH3L	5	5	5
chr11	ASAM	23	23	23
chr2	ASB1	5	5	5
chr14	ASB2	2	2	2
chr2	ASB3	32	32	32
chr7	ASB4	6	6	6
chr4	ASB5	6	6	6
chr15	ASB7	7	7	7
chr23	ASB9	3	3	3
chr23	ASB11	3	3	3
chr10	ASB13	9	9	9
chr7	ASB15	6	6	6
chr17	ASB16	5	5	5
chr1	ASB17	4	4	4
chr2	ASB18	7	7	7
chr10	ASCC1	17	17	17
chr22	ASCC2	4	4	4
chr6	ASCC3	30	30	30
chr2	ASCC3L1	2	2	2
chr17	ASGR1	3	3	3
chr17	ASGR2	3	3	3
chr1	ASH1L	20	20	20
chr8	ASH2L	2	2	2
chr7	ASNS	3	3	3
chr17	ASPA	8	8	8
chr8	ASPH	39	39	39
chr16	ASPHD1	2	2	2
chr22	ASPHD2	9	9	9
chr1	ASPM	9	9	9
chr9	ASPN	6	6	6
chr17	ASPSCR1	3	3	3
chr11	ASRGL1	7	7	7
chr9	ASS1	17	17	17
chr1	ASTN1	55	55	55
chr9	ASTN2	124	124	124
chr20	ASXL1	10	10	10
chr2	ASXL2	8	8	8
chr18	ASXL3	14	14	14
chr7	ASZ1	5	5	5
chr10	ATAD1	3	3	3
chr8	ATAD2	14	14	14
chr2	ATAD2B	13	13	13
chr17	ATAD5	6	6	6
chr19	ATCAY	11	11	11
chr10	ATE1	22	22	22
chr12	ATF1	5	5	5
chr2	ATF2	5	5	5
chr1	ATF3	20	20	20
chr19	ATF5	2	2	2
chr1	ATF6	55	55	55
chr12	ATF7	14	14	14
chr12	ATF7IP	14	14	14
chr16	ATF7IP2	6	6	6
chr14	ATG2B	31	31	31
chr3	ATG3	3	3	3
chr23	ATG4A	2	2	2
chr2	ATG4B	7	7	7
chr1	ATG4C	2	2	2
chr19	ATG4D	2	2	2
chr6	ATG5	35	35	35
chr3	ATG7	22	22	22
chr7	ATG9B	7	7	7
chr5	ATG10	9	9	9
chr2	ATG16L1	9	9	9
chr11	ATG16L2	2	2	2
chr11	ATHL1	2	2	2
chr2	ATIC	14	14	14
chr11	ATL3	2	2	2
chr11	ATM	33	33	33
chr16	ATMIN	2	2	2
chr12	ATN1	5	5	5
chr5	ATOX1	3	3	3
chr1	ATP1A1	8	8	8
chr1	ATP1A2	8	8	8
chr19	ATP1A3	3	3	3
chr1	ATP1A4	5	5	5
chr1	ATP1B1	2	2	2
chr3	ATP1B3	13	13	13
chr23	ATP1B4	3	3	3
chr12	ATP2A2	3	3	3
chr17	ATP2A3	7	7	7
chr12	ATP2B1	5	5	5
chr3	ATP2B2	47	47	47
chr1	ATP2B4	23	23	23
chr3	ATP2C1	8	8	8
chr16	ATP2C2	39	39	39
chr13	ATP4B	3	3	3
chr18	ATP5A1	2	2	2
chr12	ATP5B	2	2	2
chr10	ATP5C1	7	7	7
chr20	ATP5E	2	2	2
chr1	ATP5F1	4	4	4
chr12	ATP5G2	2	2	2
chr17	ATP5H	2	2	2
chr21	ATP5J	6	6	6
chr11	ATP5L	2	2	2
chr21	ATP5O	3	3	3
chr19	ATP5SL	3	3	3
chr17	ATP6V0A1	5	5	5
chr12	ATP6V0A2	2	2	2
chr7	ATP6V0A4	11	11	11
chr16	ATP6V0D1	16	16	16
chr8	ATP6V0D2	10	10	10
chr5	ATP6V0E1	9	9	9
chr7	ATP6V0E2	2	2	2
chr3	ATP6V1A	11	11	11
